Grammaticality
	"Der erste Satz passt nicht als Einleitung"
Coherence
	No good relationship between the sentences
	First sentence lack information through missing end
	There are poor relation between the sentences
	First sentence seems to be two sentences or punctuation is missing
	"Der Übergang vom zweiten zum dritten Satz ist nicht gut, das “And” passt auch nicht."
	"Die Verbindung vom ersten zum zweiten Satz ist nicht gut; vom zweiten zum dritten geht so"
	"zwischen den ersten zwei Sätzen gut, danach nicht mehr"
	No good relationship between the sentences
	"Problem: Satz mit ADHS am Ende passt nicht rein; großer logischer Sprung"
	"Z.5 passt nicht richtig in den Kontext, davon sind auch die benachbarten Sätze betroffen"
Readability
	Sufferes from lack of structure and coherence
	I wonder, whether the last sentence is readable
	First sentence lack information through missing end
	physical : (1)
	First sentence seems to be two sentences or punctuation is missing
	lots of brackets
	really long sentences
	very good flow due to good coherence and structure
	"Z. 5 trübt die Leserlichkeit ein bisschen; Z. 4 und Z.6: überflüssige Anführungszeichen"
	"""(v.) ::"""
	For the most part a list of buzzwords
	"der letzte Satz hat mich in dem Kontext etwas verwirrt"
	"Der Anfang der Summary lässt sich nicht so flüssig lesen"
	Punctuation and beginning with short letter of one sentence
	Suffers from the second line (ungrammatical sentence)
	One very long sentence
	direct speech
	last sentence weird
	References to papers
	"Der Sprung am Ende stört"
	sentences to long
Information Content
	First two sentences counter each other
	contained a reference
	The last sentence might not give much information
	too narrow focus
	"die ersten zwei Sätze beinhalten einen guten Informationsgehalt, der dritte Satz geht so"
	"Selbst der erste Satz ist ok als Defintion von “sleep problems”"
	Repetition of arguments
	"Satz 3 und 4 enthalten leider keine richtigen Informationen und der letzte Satz ist auch nicht ganz verständlich (s.o.)"
	First sentence does not match directly the the topic
	feels like 3 different toppics in 3 different sentences
	First sentence seems to be totally out of context
	From the beginning of the 4th sentence there cannot any information gained
	topic slightly míssed
	Due to the redundancy
	"Nur Z.4 bringt keinen Mehrwert"
Spelling
	ADHD should be written out the first time
	Copy from original text
	Typo in the first sentence in the word �correlated�
	words with capital letters for no reason
	Opening double quotes in the last sentence are not closed
	Sentence started with lower case word
	"line 3:""(6)"""
	"line 1: ""sleep"" and no point between sentences"
	Punctuation and beginning with short letter of one sentence
	Uppercased words in line 2 for no reason
	Punctuation and sentence 2 seems to be a merged sentence of two
	Punctuation
	too many whitespaces
	"In Z.5 fehlt ein Punkt"
	broken capitalization
	ANY (2)
	"Z.4 Anfang: ein Anführungszeichen zu viel"
Length
	545
	Only about 300 characters long and could contain much more information with more characters
	last sentence does not provide new information
	476
	since i dont know what this is about and only 474 chars are beeing used there would be space for another short sentence
	578
	second sentence way too long
	568
	There is some place wasted due the three dots in the beginning of the summary for no special reason
	too long - by a sliver.
	559
	489
	Only about 400 characters long and could contain much more information with more characters
	Only about 400 characters long and could contain much more information with more characters
	538
	596
	Maybe exchange one sentence and add some one more
	There is some place wasted due the �(6)� in the beginning of the summary for no special reason
	Only 3 Sentences and one very long
	Only about 400 characters long and could contain much more information with more characters
	Very short and only 3 sentences
	Very short and only 3 sentences
	524
	Only 3 sentences
	There is some place wasted due the �(e)� fragment in the 2nd sentence for no special reason
	Only one sentence and very short over all
	There is some space wasted due the �(e)� fragment in the 2nd sentence for no special reason
	Only about 500 characters
	Very short, maybe some more sentences
	608
	Substantially to long
Overall Quality
	"die Nuggets waren ganz gut, aber in einer relativ beliebigen Reihenfolge"
	Very nice summary.
	because the summary consist of only 2 sentences lots of the point above score very high even tho the information gain is too low, which is the main goal of a summary
	Lack of coherence
	"die Struktur der Summary ist einfach nicht gut"
	"die Nuggets waren ganz gut, aber für ein besseres Verständnis sollte die Reihenfolge verbessert werden"
	Because of the shortness and therefore less information
	Very short!
	Almost only listing things without clear context.
	A good summary compared to others with lower ID
	"Neben der Struktur reichen die Informationen auch nicht gut genug"
	it is only one sentence and there are colse to 400 chars left
	"ohne klarem Thema bringt die Summary nichts"
	"Eigentlich passt nur Z.6 richtig gut und die anderen Sätze haben alle ein Problem, sei es sie passen nicht in den Kontext, ihnen fehlt der Bezug zum Thema oder sie vermitteln keine Informationen"
