1025/51/1338	Cyber bullying is often motivated by anger, revenge or frustration.
1025/7/399	Help children understand the consequences of cyber bullying; harassment and threats can be become the basis for civil litigation and criminal action.
1025/51/1379	Build a relationship with your child that enables them to trust you with their good AND bad decisions or experiences;
1025/35/948	 Watch for signs that your child may be the victim of cyber bullying.
1025/6/376	Many kids know far more than their parents about computers and they can keep you in the dark, only letting you know what they want you to know.
1025/20/682	Additionally, cyber bullying can often be perpetrated by an anonymous offender, making it difficult to pinpoint the origin and stop it.
1025/47/1273	Research indicates that the minors who incite as well as the minors who receive these messages have lower self-esteem than those who are not involved in bullying online .
1025/68/1774	Discuss cyberbullying with the child and encourage them to tell you if they're feeling bullied
1025/13/578	Parents can guide kids not to respond immediately when being attacked in cyber space.
1025/24/760	And while cyber bullying is not in itself physically abusive, physical abuse can be threatened, planned, and posted up in picture or video formats online.
1025/89/2349	"Some kids who become bullies, for some reason, don't 'get' empathy.
1025/45/1226	Bullying can be contagious and can lead to broken friendships, broken bones, and even loss of life.
1025/36/953	Victims of cyber-bullying may experience many of the same effects as children who are bullied in person, such as a drop in grades, low self-esteem, a change in interests, or depression.
1025/82/2156	Cyber bullying is worse than bullying in person due to the fact that anyone can see it and it is more threatening than in person.
1025/3/80	Your child may have difficulty reading social signs or may not understand how hurtful their behavior can be.
1025/45/1229	Bullying is reoccurring and often includes an intent to cause harm.
1025/76/1878	9/16/09  Anti-Bullying Program  Highmark Healthy High 5 bullying programs on PA schools
1025/52/1413	If your teen is on Facebook, make sure you show him how to report abuse, block a user, and set privacy controls.
1025/30/873	Kids who have learning disabilities are especially vulnerable to bullying problems.
1025/5/235	Therapists working with patients who bully in either the real or virtual world, should focus on helping their clients understand the consequences of their actions on the victim.
1025/6/266	Cyber bulling can be every bit as dangerous as bullying; more so in some cases.
1025/3/72	While it's a controversial subject, parents should monitor the amount of violent content their children are exposed to via TV, movies, or video games.
1025/3/111	Boys frequently bully using physical threats and actions, while girls are more likely to engage in verbal or relationship bullying.
1025/11/538	If you suspect your child's friend or peer is cyber-bullied, report it!
1025/43/1157	Emotional upset depression, sadness, anxiety, anger or fear, especially if there is nothing readily apparent that could be causing this upset, or if your child seems especially upset after using the Internet or cell phone
1025/3/71	Research suggests that some kids and teens may become more aggressive by playing violent video games.
1025/76/1885	10/1/07  Bullying Prevention  The effects of bullying on the victim and the bully
1025/66/1753	While all forms of bullying are very hurtful and embarrassing for the victim, cyber-bullying can be especially painful because of how many people may see the photos, videos, name-calling or teasing.
1025/52/1476	School assemblies are a powerful way to send this message clearly.
1025/5/197	Among individuals not involved with traditional bullying, only 9% were targets of cyber bullying and only 5% perpetrated cyber bullying.
1025/4/145	Your son is hesitant to be online or unexpectedly stops or avoids using the computer
1025/70/1806	Traditional bullying, the kind that occurs in the school building or face-to-face, is different.
1025/52/1443	Children need to feel safe enough to approach parents and teachers with incidences of bullying.
1025/26/792	Empathy and Perspective-Taking Antidotes Appeal to your students' sense of empathy to help them understand how scary and/or humiliating it is to be on the receiving end of cyber bullying.
1025/88/2304	Cyber harassment/Cyber stalking is defined by repeated contact used to intimidate the targeted individual through mental assault.
1025/68/1779	Common situations for cyberbullying to occur are shown in Figure 1 below.
1025/6/268	Keep open communication lines with your children so they will feel comfortable enough to tell you.
1025/28/815	The bullies need to know that their behavior is not very clever.
1025/50/1332	86% of students said, "other kids picking on them, making fun of them or bullying them" causes teenagers to turn to lethal violence in the schools.
1025/26/779	If students really understand the impact cyber bullying can have, they may think twice before participating in the future.
1025/5/231	Because cyber bullying bystanders are often inadvertently drawn into the aggression in a form of cyber bullying known as indirect cyber bullying or cyber bullying by proxy, the effects on them are estimated to be more problematic than those on bystanders to traditional bullying.
1025/52/1462	Parents need to be aware of what their children are doing on the computer at all times.
1025/20/699	Talk with your child about the steps he or she can take to protect himself or herself, both emotionally and physically.
1025/3/84	Kids learn from adults' aggressive or mean-spirited behavior.
1025/82/2164	Most Cyber Bullying happens outside of school, does the school have a right or an obligation to still teach these skills?
1025/2/37	The intent of cyber bullying is to hurt someone emotionally and the majority of the time, it works.
1025/75/1854	Students are too often lax in their security with usernames and passwords so messages can be falsely written by individuals and misrepresented.
1025/20/679	Cyber bullying is a relatively new - yet potentially very harmful - phenomenon in which youth use technology such as computers or cell phones to harass, threaten, humiliate or otherwise hassle their peers.
